10-09 17:22:55.904  9995 10015 I TestRunner: started: channel_one(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:55.915  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:55.923  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:55.928  7067  9918 D BatteryInfo: time for regular BatteryInfo: 5ms
10-09 17:22:55.928  7067  9918 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:55.932   863   942 D SplashScreenView: Build android.window.SplashScreenView{a8871c9 V.E...... ......ID 0,0-0,0}
10-09 17:22:55.932   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:55.932   863   942 D SplashScreenView: Branding: view: android.view.View{939e0ce G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:55.943  7067  7093 D BatteryTipLoader: BatteryInfoLoader post query: 16ms
10-09 17:22:55.943  7067  7093 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:55.943  7067  7093 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 16ms
10-09 17:22:55.974  1166  1177 I s.nexuslaunche: NativeAlloc concurrent copying GC freed 7459(392KB) AllocSpace objects, 0(0B) LOS objects, 49% free, 5304KB/10MB, paused 75us,63us total 115.679ms
10-09 17:22:55.981   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0000000 0x1f09a4000]
10-09 17:22:55.984   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0fd0000 0x1f1974000]
10-09 17:22:55.984   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f1974000 0x1f2318000]
10-09 17:22:55.993   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f2318000 0x1f2cbc000]
10-09 17:22:55.997   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f2cbc000 0x1f3660000]
10-09 17:22:55.998   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f4000000 0x1f49a4000]
10-09 17:22:56.102  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:56.102  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:56.102  7067  7102 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:56.102  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:56.114  7067  7096 D BatteryTipLoader: BatteryInfoLoader post query: 1ms
10-09 17:22:56.115  7067  7096 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:56.115  7067  7096 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 2ms
10-09 17:22:56.118  7067  7102 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:56.128  7067  7093 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:56.132   565  2077 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:56.132   565  2077 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:56.132   565  2077 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:56.132   565  2077 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
