10-09 17:22:53.810  9995 10015 I TestRunner: started: invisible_message(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:53.822  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:53.850  7067  9918 D BatteryInfo: time for regular BatteryInfo: 28ms
10-09 17:22:53.851  7067  9918 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:53.866  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:53.873  7067  7093 D BatteryTipLoader: BatteryInfoLoader post query: 3ms
10-09 17:22:53.874  7067  7093 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:53.874  7067  7093 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 4ms
10-09 17:22:54.037   565   610 W system_server: Long monitor contention with owner Binder:565_5 (849) at android.window.TaskSnapshot com.android.server.wm.TaskSnapshotCache.getSnapshot(int, int, boolean, boolean)(TaskSnapshotCache.java:68) waiters=0 in void com.android.server.wm.InputMonitor$UpdateInputWindows.run() for 132ms
10-09 17:22:54.049   863   942 D SplashScreenView: Build android.window.SplashScreenView{ae87e9e V.E...... ......ID 0,0-0,0}
10-09 17:22:54.049   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:54.049   863   942 D SplashScreenView: Branding: view: android.view.View{7c63d7f G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:54.092   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0000000 0x1f09a4000]
10-09 17:22:54.094   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f0fd0000 0x1f1974000]
10-09 17:22:54.097   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f4000000 0x1f49a4000]
10-09 17:22:54.102   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f4fd0000 0x1f5974000]
10-09 17:22:54.104   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f5974000 0x1f6318000]
10-09 17:22:54.107   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f8000000 0x1f89a4000]
10-09 17:22:54.139  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:54.139  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:54.140  7067  7103 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:54.140  7067  7067 D BatteryInfo: time for callback: 0ms
10-09 17:22:54.144  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:54.149  7067  7103 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:54.152  7067  7093 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:54.189  7067  7102 D BatteryTipLoader: BatteryInfoLoader post query: 19ms
10-09 17:22:54.189  7067  7102 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:54.190  7067  7102 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 20ms
10-09 17:22:54.192   565   849 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.193   565   849 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.193   565   849 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:54.194   565   849 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
