10-09 17:22:52.142  9995 10015 I TestRunner: started: invisible_message_date(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:52.153  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:52.190   863   942 D SplashScreenView: Build android.window.SplashScreenView{e7c692b V.E...... ......ID 0,0-0,0}
10-09 17:22:52.190   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:52.190   863   942 D SplashScreenView: Branding: view: android.view.View{5461188 G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:52.196  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:52.206  7067  9918 D BatteryInfo: time for regular BatteryInfo: 10ms
10-09 17:22:52.206  7067  9918 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:52.207   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0000000 0x1f09a4000]
10-09 17:22:52.209   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f2f70000 0x1f3914000]
10-09 17:22:52.212   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0fd0000 0x1f1974000]
10-09 17:22:52.221  7067  7102 D BatteryTipLoader: BatteryInfoLoader post query: 3ms
10-09 17:22:52.221  7067  7102 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:52.221  7067  7102 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 3ms
10-09 17:22:52.254   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f1974000 0x1f2318000]
10-09 17:22:52.257   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f4000000 0x1f49a4000]
10-09 17:22:52.258   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f6cbc000 0x1f7660000]
10-09 17:22:52.283  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:52.284  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:52.285  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:52.285  7067  7103 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:52.300  7067  7102 D BatteryTipLoader: BatteryInfoLoader post query: 4ms
10-09 17:22:52.300  7067  7102 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:52.300  7067  7102 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 4ms
10-09 17:22:52.301   565   849 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:52.301   565   849 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:52.301   565   849 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:52.301   565   849 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:52.301   565   849 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
