10-09 17:22:54.826  9995 10015 I TestRunner: started: invisible_message_detail_content(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:54.845  7067  7096 D BatteryTipLoader: BatteryInfoLoader post query: 1ms
10-09 17:22:54.848  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:54.851  7067  7096 D BatteryInfo: time for getBatteryInfo: 6ms
10-09 17:22:54.851  7067  7096 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 7ms
10-09 17:22:54.907   863   942 D SplashScreenView: Build android.window.SplashScreenView{10c3de4 V.E...... ......ID 0,0-0,0}
10-09 17:22:54.907   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:54.907   863   942 D SplashScreenView: Branding: view: android.view.View{f6a024d G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:54.934   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0000000 0x1f09a4000]
10-09 17:22:54.991   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f0fd0000 0x1f1974000]
10-09 17:22:54.995   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f4000000 0x1f49a4000]
10-09 17:22:54.996   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f4fd0000 0x1f5974000]
10-09 17:22:55.049   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f6318000 0x1f6cbc000]
10-09 17:22:55.052   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f8fd0000 0x1f9974000]
10-09 17:22:55.054   863   891 I ndroid.systemu: NativeAlloc concurrent copying GC freed 27078(1392KB) AllocSpace objects, 0(0B) LOS objects, 49% free, 14MB/28MB, paused 79us,63us total 357.618ms
10-09 17:22:55.090  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:55.090  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:55.090  7067  7102 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:55.090  7067  7103 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:55.092  7067  7067 D BatteryInfo: time for callback: 1ms
10-09 17:22:55.099  7067  7102 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:55.105  7067  7103 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:55.109  7067  7096 D BatteryTipLoader: BatteryInfoLoader post query: 1ms
10-09 17:22:55.110  7067  7096 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:55.110  7067  7096 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 2ms
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.111   565   937 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.112   565   937 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.128   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1fa85c000 0x1fae88000]
10-09 17:22:55.175  7067  7067 D ContextualSuggestFrag: Remove suggestion
10-09 17:22:55.175  7067  7067 D ContextualSuggestFrag: Total loading time: 85 ms
10-09 17:22:55.181  7067  7067 D ContextualSuggestFrag: Remove suggestion
10-09 17:22:55.181  7067  7067 D ContextualSuggestFrag: Total loading time: 91 ms
10-09 17:22:55.234   565  2073 W InputManager-JNI: Input channel object '9513eea edu.ucsc.cse118.assignment2.test/androidx.test.core.app.InstrumentationActivityInvoker$EmptyActivity (client)' was disposed without first being removed with the input manager!
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.249   565   849 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.251   565   849 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.252   565   849 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.253   565   849 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:55.253   565   849 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
