10-09 17:22:58.467  9995 10015 I TestRunner: started: message_count_three(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:58.473  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:58.487   863   942 D SplashScreenView: Build android.window.SplashScreenView{f47fae1 V.E...... ......ID 0,0-0,0}
10-09 17:22:58.487   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:58.487   863   942 D SplashScreenView: Branding: view: android.view.View{b1c9006 G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:58.490  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:58.491  7067  9918 D BatteryInfo: time for regular BatteryInfo: 1ms
10-09 17:22:58.491  7067  9918 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:58.495  7067  7102 D BatteryTipLoader: BatteryInfoLoader post query: 1ms
10-09 17:22:58.495  7067  7102 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:58.495  7067  7102 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 1ms
10-09 17:22:58.496   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f1974000 0x1f2318000]
10-09 17:22:58.497   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f0000000 0x1f09a4000]
10-09 17:22:58.497   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f09a4000 0x1f1348000]
10-09 17:22:58.508  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:58.508  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:58.508  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:58.508  7067  7103 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:58.510  7067  7103 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:58.512   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f5348000 0x1f5cec000]
10-09 17:22:58.512  7067  7093 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:58.513   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f5cec000 0x1f6690000]
