10-09 17:22:59.240  9995 10015 I TestRunner: started: message_count_two(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:59.249  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:59.249  7067  7103 D BatteryTipLoader: BatteryInfoLoader post query: 1ms
10-09 17:22:59.250  7067  7103 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:59.250  7067  7103 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 2ms
10-09 17:22:59.250  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:59.264   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f1974000 0x1f2318000]
10-09 17:22:59.265   863   942 D SplashScreenView: Build android.window.SplashScreenView{fd57fb7 V.E...... ......ID 0,0-0,0}
10-09 17:22:59.265   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:59.265   863   942 D SplashScreenView: Branding: view: android.view.View{95b5324 G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:59.274   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f4000000 0x1f49a4000]
10-09 17:22:59.275   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f49a4000 0x1f5348000]
10-09 17:22:59.275  7067  9918 D BatteryInfo: time for regular BatteryInfo: 25ms
10-09 17:22:59.275  7067  9918 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:59.283  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:59.283  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:59.284  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:59.284  7067  7103 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:59.290  7067  7103 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:59.290  7067  7093 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.294   565  1052 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:59.296  7067  7102 D BatteryTipLoader: BatteryInfoLoader post query: 3ms
10-09 17:22:59.296  7067  7102 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:59.296  7067  7102 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 3ms
10-09 17:22:59.299   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f5348000 0x1f5cec000]
