10-09 17:22:57.439  9995 10015 I TestRunner: started: visible_message_detail_date(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:57.443  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:57.451   863   942 D SplashScreenView: Build android.window.SplashScreenView{16288ac V.E...... ......ID 0,0-0,0}
10-09 17:22:57.451   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:57.451   863   942 D SplashScreenView: Branding: view: android.view.View{da0c975 G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:57.457  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:57.457  7067  9918 D BatteryInfo: time for regular BatteryInfo: 0ms
10-09 17:22:57.458  7067  9918 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:57.462  7067  7103 D BatteryTipLoader: BatteryInfoLoader post query: 1ms
10-09 17:22:57.462  7067  7103 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:57.462  7067  7103 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 1ms
10-09 17:22:57.466   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f15fc000 0x1f1fa0000]
10-09 17:22:57.467   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f2bf8000 0x1f359c000]
10-09 17:22:57.467   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f4000000 0x1f49a4000]
10-09 17:22:57.471   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f49a4000 0x1f5348000]
10-09 17:22:57.478   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f5348000 0x1f5cec000]
10-09 17:22:57.490   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f8000000 0x1f89a4000]
10-09 17:22:57.490  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:57.490  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:57.490  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:57.491  7067  7102 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:57.493  7067  7102 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:57.493  7067  7093 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.500   565  2077 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.507  7067  7103 D BatteryTipLoader: BatteryInfoLoader post query: 7ms
10-09 17:22:57.508  7067  7103 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:57.508  7067  7103 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 8ms
10-09 17:22:57.508   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f89a4000 0x1f8fd0000]
10-09 17:22:57.511  7067  7067 D BatteryInfo: time for callback: 0ms
10-09 17:22:57.545  7067  7067 D ContextualSuggestFrag: Remove suggestion
10-09 17:22:57.545  7067  7067 D ContextualSuggestFrag: Total loading time: 56 ms
10-09 17:22:57.546   565  2073 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.546   565  2073 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
