10-09 17:22:57.789  9995 10015 I TestRunner: started: visible_message_detail_name(edu.ucsc.cse118.assignment2.AdvancedInstrumentedTest)
10-09 17:22:57.793  9995 10015 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
10-09 17:22:57.806  7067  9918 D BatteryInfo: time for getStats: 0ms
10-09 17:22:57.809   863   942 D SplashScreenView: Build android.window.SplashScreenView{5b4144 V.E...... ......ID 0,0-0,0}
10-09 17:22:57.809   863   942 D SplashScreenView: Icon: view: null drawable: null size: 0
10-09 17:22:57.809   863   942 D SplashScreenView: Branding: view: android.view.View{355b22d G.ED..... ......I. 0,0-0,0 #10204a9 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
10-09 17:22:57.814  7067  9918 D BatteryInfo: time for regular BatteryInfo: 8ms
10-09 17:22:57.815  7067  9918 D BatteryInfo: time for getBatteryInfo: 1ms
10-09 17:22:57.822  7067  7102 D BatteryTipLoader: BatteryInfoLoader post query: 3ms
10-09 17:22:57.822  7067  7102 D BatteryInfo: time for getBatteryInfo: 0ms
10-09 17:22:57.823  7067  7102 D BatteryTipLoader: BatteryInfoLoader.loadInBackground: 4ms
10-09 17:22:57.825   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f0000000 0x1f09a4000]
10-09 17:22:57.827   365   425 D goldfish-address-space: claimShared: Ask to claim region [0x1f15fc000 0x1f1fa0000]
10-09 17:22:57.828   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f2bf8000 0x1f359c000]
10-09 17:22:57.832   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f5cec000 0x1f6690000]
10-09 17:22:57.840  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:57.840  7067  7067 D ContextualSuggestFrag: loadSuggestions
10-09 17:22:57.840   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f462c000 0x1f4fd0000]
10-09 17:22:57.843  7067  7096 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:57.843  7067  7093 D ContextualSuggestFrag: Start loading suggestions
10-09 17:22:57.847   365   424 D goldfish-address-space: claimShared: Ask to claim region [0x1f8fd0000 0x1f9974000]
10-09 17:22:57.862  7067  7093 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:57.862  7067  7096 D ContextualSuggestFrag: Loaded suggests: 0
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-09 17:22:57.864   565  2077 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
